Ticker
GOOG
MSFT
AAPL
ADBE
LAZR
OUST
NFLX
U
UPST
PYPL
SQ
ROKU
NKE
CROX
AMZN
SHOP
SE
SPOT
HUBS
TTD
TDOC
ENPH
CHPT
EVGO
TSLA
META
